OUT_ID	B11	B110	B111	B12	B13	B14	B15	B16	B17	B18	B19	BM1	BM2	BM3	BM4	BM5	BM6	BM7	BR11	BR12	BR13	BR14	BR15	BR16	BR17	BR18	BR21	BR22	BR23	BR24	BR25	BR26	BR27	BR28	BT21	BT22	BT23	BT24	BT25	BT26	BT27	BT31	BT32	BT33	BT34	BT35	BT36	BT37
f__Sphingomonadaceae;g__Sphingobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Sphingomonadaceae;g__Sphingomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c__Betaproteobacteria;o__ASSO-13;f__;g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o__Burkholderiales;__;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	12	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	47	21	0	0	0	3
f__Alcaligenaceae;g__Sutterella	485	710	557	683	817	906	358	727	890	945	850	209	772	610	1187	1999	1620	1189	822	475	664	514	479	267	291	0	558	600	642	837	359	325	116	104	409	1228	1166	2217	2473	882	691	545	1179	1122	2495	1834	2016	1525
f__Comamonadaceae;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	36	0
f__Oxalobacteraceae;g__Cupriavidus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0
f__Oxalobacteraceae;g__Oxalobacter	15	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Oxalobacteraceae;g__Ralstonia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0
f__Neisseriaceae;g__Eikenella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Desulfovibrionaceae;g__	180	0	0	0	0	15	10	19	0	0	0	115	68	77	82	72	27	13	119	0	43	33	16	10	17	0	213	58	103	118	37	31	26	19	114	17	37	24	45	12	11	143	85	109	99	86	60	27
f__Desulfovibrionaceae;g__Bilophila	113	0	6	0	0	0	0	0	0	0	0	207	41	49	81	0	0	16	180	0	49	65	27	0	0	21	165	39	74	76	33	0	27	0	135	0	0	10	0	0	0	249	69	64	65	56	0	0
f__Desulfovibrionaceae;g__Desulfovibrio	32	0	0	0	0	0	0	0	0	0	0	137	0	30	42	44	14	0	52	0	0	0	0	0	0	0	42	22	35	35	0	0	0	0	158	15	0	0	0	0	0	0	0	28	0	67	44	31
f__Campylobacteraceae;g__Campylobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	170	470	1940	0	0	0	16	245	98	432	570	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Enterobacteriaceae;__	153	34	0	160	192	114	122	208	119	0	0	233	23	17	29	0	32	86	272	559	1173	1566	1132	847	460	227	230	1016	2400	3386	1727	1104	745	694	51	27	66	22	40	28	33	215	78	58	48	61	126	36
f__Enterobacteriaceae;g__Enterobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	60
f__Enterobacteriaceae;g__Klebsiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	39	11	101	33	18	0	0	55	6	0	0	4	0	0	0	6	0	0	0	0	0	0	0	51	8	0	0	15	0	0
f__Enterobacteriaceae;g__Kluyvera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Enterobacteriaceae;g__Morganella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Enterobacteriaceae;g__Proteus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	21	0	0	17	0	0	0	0	23	17	0	0	0	0	0	16	13	0	0	0	0	13	0	0	26	0
f__Enterobacteriaceae;g__Salmonella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Pasteurellaceae;g__Haemophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	31	0	0	0	0	0	0
f__Moraxellaceae;g__Acinetobacter	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Pseudomonadaceae;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Pseudomonadaceae;g__Pseudomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	5	0	8	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	6	0	0	0	5	4	0
k__Bacteria;p__TM7;c__TM7-3;o__;f__;g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c__Mollicutes;o__RF39;f__;g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0
p__Tenericutes;c__RF3;o__ML615J-28;f__;g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__[Cerasicoccaceae];g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Verrucomicrobiaceae;g__Akkermansia	0	0	0	0	0	0	0	0	0	0	0	938	0	0	94	83	63	24	669	43	0	151	74	42	17	33	400	49	0	0	20	0	0	5	144	0	28	0	13	0	0	505	67	35	104	113	140	49
